id,company_name,plan_tier,account_status,contract_start,contract_end,seat_count,monthly_revenue,created_at
8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,Johnson LLC,Starter,Active,2024-11-29,2027-09-15,89,29,2026-06-21 18:04:50.673338
46bee804-34a6-40f3-93a7-61df3c67db3f,Vazquez Group,Growth,Active,2025-03-22,2026-10-10,28,99,2026-06-21 18:04:50.682592
51fc306a-24e1-415b-aad7-508f97d414cb,Sherman Group,Starter,Trial,2025-06-02,2027-11-25,56,29,2026-06-21 18:04:50.689173
e732ab2c-0ce1-4418-8a04-185d7c6763c0,Robbins-Young,Starter,Suspended,2024-07-29,2028-05-15,77,29,2026-06-21 18:04:50.699130
e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,Rogers-Whitehead,Starter,Suspended,2025-03-02,2027-05-02,134,29,2026-06-21 18:04:50.704893
4a319096-c350-4642-8635-bb8a194ea3aa,"Hunt, Gonzalez and Townsend",Business,Past Due,2024-02-16,2026-08-21,19,299,2026-06-21 18:04:50.715362
cf9e5c86-0e01-425d-81a5-5d60f2bff1de,Powell Inc,Business,Active,2023-07-05,2028-06-13,69,299,2026-06-21 18:04:50.724373
f1354fc3-75ef-443e-b820-8083940c4856,"Jordan, Robinson and Spencer",Business,Active,2025-03-07,2026-11-28,100,299,2026-06-21 18:04:50.735029
e6e2af16-0440-43b2-ae02-50f9247726d3,Edwards-Watkins,Growth,Active,2023-11-02,2027-07-24,125,99,2026-06-21 18:04:50.743996
10853b5f-d44a-473b-aacd-cce5a9440729,"Duran, Johnston and Garza",Growth,Past Due,2024-12-08,2028-06-18,19,99,2026-06-21 18:04:50.757128
0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Herman-Alexander,Starter,Active,2024-07-12,2028-02-18,136,29,2026-06-21 18:04:50.766015
a899bc30-3d58-4941-9b92-c5e40584d04a,Hunt-Cunningham,Growth,Trial,2025-02-08,2026-10-28,42,99,2026-06-21 18:04:50.772295
80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,Klein-Mullins,Starter,Active,2025-01-13,2027-06-28,34,29,2026-06-21 18:04:50.780055
8c215458-8db5-47a8-a00f-613c6f9ace6b,"King, Sharp and Pace",Starter,Suspended,2025-04-18,2028-03-10,126,29,2026-06-21 18:04:50.786089
2894e589-8178-4d92-9443-433f2184c5c1,Perez-Estes,Growth,Trial,2023-10-30,2026-09-10,114,99,2026-06-21 18:04:50.793877
cc43fe32-4e44-4c6d-b597-59f8de20f461,Chaney Inc,Growth,Suspended,2023-07-31,2027-03-14,26,99,2026-06-21 18:04:50.799706
0f0e04f1-42dc-4e99-a8bf-03c5408b1ac9,"Peck, Smith and Ali",Starter,Active,2023-12-13,2027-02-15,47,29,2026-06-21 18:04:50.810164
d75e3493-297b-4c91-a713-ade88c8b8792,Stewart and Sons,Starter,Active,2025-02-16,2027-04-02,139,29,2026-06-21 18:04:50.819385
7162938a-cf62-4017-b478-225e747cd675,Farmer-Collins,Starter,Trial,2024-02-29,2026-10-15,28,29,2026-06-21 18:04:50.829664
384a6d47-f5aa-4eee-86fa-49c2454b5b5c,White-Hart,Business,Trial,2024-03-15,2026-10-20,88,299,2026-06-21 18:04:50.837043
1536e97d-da14-4c11-92d7-696add9e414e,Jones-Martin,Starter,Active,2023-07-11,2027-09-26,102,29,2026-06-21 18:04:50.842623
a708acba-1408-4589-b0b8-0237f1130aff,Miller-Burnett,Growth,Suspended,2024-05-28,2026-12-06,39,99,2026-06-21 18:04:50.851757
1b0fa279-a5cf-499e-9eb6-268ca73e5f73,Osborne PLC,Growth,Past Due,2024-05-16,2027-11-14,84,99,2026-06-21 18:04:50.860696
ce21f104-476d-408f-bbe2-854a85a9de75,Villanueva-Oneill,Business,Suspended,2023-08-19,2026-11-09,114,299,2026-06-21 18:04:50.873985
d69bde44-8283-4cc9-adc9-dd4adc7eeb07,"Singleton, Wright and Walton",Starter,Suspended,2025-02-04,2028-04-11,87,29,2026-06-21 18:04:50.880431
680c7ab6-bc7f-4102-bf64-157a22850ba3,Washington-Allen,Enterprise,Suspended,2024-08-31,2027-05-18,42,999,2026-06-21 18:04:50.887282
10904bcf-94f9-4be5-96e4-8f89b32aeaaa,Marshall LLC,Enterprise,Active,2024-05-20,2028-03-18,80,999,2026-06-21 18:04:50.892433
5c882b4f-2fb8-4993-ae0e-b40b34a93fc2,"Wilson, Pham and Anderson",Starter,Suspended,2023-10-30,2027-07-07,121,29,2026-06-21 18:04:50.899247
66769379-f4b7-4b18-aa00-16450b9d245d,West PLC,Enterprise,Active,2025-03-24,2028-03-14,90,999,2026-06-21 18:04:50.905993
fd7cb201-8d80-4816-87ac-3674711e3876,Martinez LLC,Starter,Suspended,2024-12-13,2027-04-05,97,29,2026-06-21 18:04:50.913092
0e58b9cb-4212-482b-b666-cda251da4553,"Cooper, Robertson and Hudson",Starter,Trial,2024-02-26,2028-02-10,11,29,2026-06-21 18:04:50.918526
e325c7d8-f61d-4df0-974f-b4929f1050c7,"Guerra, Mcdonald and Drake",Business,Trial,2025-06-07,2027-07-15,72,299,2026-06-21 18:04:50.925581
9ff0f69e-8fea-43b6-96d5-8460e015eccb,"Drake, Johnson and Bush",Starter,Past Due,2023-12-16,2027-08-12,120,29,2026-06-21 18:04:50.933438
50c267ba-ecaa-4a16-b781-dcce9eb8dd85,Bass-White,Starter,Past Due,2025-06-05,2027-07-03,96,29,2026-06-21 18:04:50.939137
68f87471-d6cb-45ff-900b-ca946e8359a1,Rodriguez Group,Growth,Suspended,2023-08-07,2027-10-04,50,99,2026-06-21 18:04:50.946149
cf2cd25f-e6e2-4899-9a7d-d5165ff9f37c,"Lambert, Moore and Rodriguez",Growth,Suspended,2024-02-03,2027-01-02,17,99,2026-06-21 18:04:50.954160
dedd29d3-9f40-44b3-9736-e1d5e5ef1f79,Morales-Carter,Growth,Past Due,2024-12-27,2026-10-03,69,99,2026-06-21 18:04:50.962050
e6821510-6623-4833-b6ff-5222e2756480,Watson PLC,Enterprise,Past Due,2023-08-06,2027-04-21,72,999,2026-06-21 18:04:50.971883
ef30fcfe-edc9-4c1b-b320-df58fb05c8b6,Cooper-Williams,Growth,Suspended,2024-08-07,2027-06-03,73,99,2026-06-21 18:04:50.981668
