id,account_id,plan_name,billing_cycle,status,renewal_date,monthly_cost,created_at
30f46fde-88f7-4703-a24e-c0ea5b4a83fa,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,Starter,Monthly,Active,2026-08-11,29,2026-06-21 18:04:50.680312
a3587d16-4783-4616-9b3c-bdd3a1df6ead,46bee804-34a6-40f3-93a7-61df3c67db3f,Growth,Monthly,Active,2027-02-14,99,2026-06-21 18:04:50.687106
49ff4f16-ff54-4a74-afaf-42089e6cd7ad,51fc306a-24e1-415b-aad7-508f97d414cb,Starter,Yearly,Trial,2027-02-24,29,2026-06-21 18:04:50.696635
16c8191e-fe86-48a1-add5-76f76e2ea9a6,e732ab2c-0ce1-4418-8a04-185d7c6763c0,Starter,Monthly,Suspended,2027-03-29,29,2026-06-21 18:04:50.702666
89b45785-633d-4923-ab7b-f18329a5ffae,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,Starter,Yearly,Suspended,2026-12-09,29,2026-06-21 18:04:50.713059
031ad003-27a7-4e53-8403-20a9ef9f2038,4a319096-c350-4642-8635-bb8a194ea3aa,Business,Yearly,Past Due,2026-09-28,299,2026-06-21 18:04:50.721225
23de37ae-6ec5-4ad3-9831-bdf099cf3c6f,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,Business,Monthly,Active,2027-01-24,299,2026-06-21 18:04:50.729626
e69ac860-1159-4535-ae2c-63da42d0768f,f1354fc3-75ef-443e-b820-8083940c4856,Business,Monthly,Active,2026-11-22,299,2026-06-21 18:04:50.740910
ae7d805f-5add-4777-be26-899220e509e2,e6e2af16-0440-43b2-ae02-50f9247726d3,Growth,Yearly,Active,2026-09-26,99,2026-06-21 18:04:50.753126
25a332a1-fe82-4983-a239-44b534ec567a,10853b5f-d44a-473b-aacd-cce5a9440729,Growth,Monthly,Past Due,2026-08-06,99,2026-06-21 18:04:50.762796
c24a701f-a8c0-4711-be8c-58efb5fa52c0,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,Starter,Yearly,Active,2027-04-28,29,2026-06-21 18:04:50.769256
d727a9f8-eb00-40e4-b2d5-b31e3afe4873,a899bc30-3d58-4941-9b92-c5e40584d04a,Growth,Monthly,Trial,2026-09-09,99,2026-06-21 18:04:50.777619
630d40c5-a2cb-4770-8c7b-c70894f1154e,80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,Starter,Monthly,Active,2027-03-12,29,2026-06-21 18:04:50.783255
2974fbd2-d4c5-4457-b5fb-92e0bb6f225b,8c215458-8db5-47a8-a00f-613c6f9ace6b,Starter,Yearly,Suspended,2026-10-05,29,2026-06-21 18:04:50.791527
