id,account_id,subject,status,priority,summary,created_at
f4996a7b-e9f3-483d-840c-f1e42d293c20,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,Refund Request,Open,High,Certain north door would he. Whether product tend decide century personal sing.,2026-05-27 02:45:03
373022dc-6754-4823-8b89-1eb5143d2b79,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,Add Team Members,Resolved,Critical,Yet cell manage brother behind. Law hotel dream five must. But always us tonight.,2026-06-05 04:35:27
f9c6498e-558d-45fd-924b-9e3cec19ac02,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,Invoice Dispute,Open,Low,Data pick room relationship enjoy. Collection among cause change. Modern black movement dream.,2026-01-20 06:38:44
070c5821-d209-453c-bde8-58110fe5276b,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,API Error,In Progress,Low,Be statement edge anyone who very official. Take sister building chance beat mention. Stop determine space participant book.,2026-01-18 10:35:58
e0b872bf-3da4-456f-85f2-5a662c04d40f,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,Unexpected Charge,In Progress,Critical,Well mention nearly his perform against similar. Young involve allow cell assume wind. Catch personal compare top less something leg.,2026-04-24 19:14:19
92550014-4bd1-4870-a16f-46aa3dd21239,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,Plan Downgrade Request,Closed,Critical,General forget once we Congress. Recognize modern something bed hot important force let.,2026-06-18 14:10:11
124e9219-13cf-4400-9ef2-d790e6f211de,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,Add Team Members,Closed,Low,Series daughter low meeting attention minute TV. Agreement when practice ever. Leave interest not few professional draw least.,2026-01-23 20:57:32
46fad326-ead4-4b9f-8f4f-edcfadd6c8ee,46bee804-34a6-40f3-93a7-61df3c67db3f,Cannot Login,Open,Low,Project information floor generation hit southern. Machine ball every exist response executive front color. Top thought too lead speech lawyer moment. Sea receive commercial common.,2026-03-30 08:17:01
d40a4fb4-4921-4291-bba9-95182651c097,46bee804-34a6-40f3-93a7-61df3c67db3f,Unexpected Charge,Open,High,Fast memory drive each.,2026-03-29 23:39:37
5b631585-ad41-47dd-ab89-af285e821aa2,46bee804-34a6-40f3-93a7-61df3c67db3f,Cannot Login,Closed,Medium,Fill house cup include many care. Chance decide end check marriage care place. However real defense newspaper.,2026-02-28 14:06:25
ea925ae1-76e4-4632-a175-6b915af204c1,46bee804-34a6-40f3-93a7-61df3c67db3f,Cannot Login,Resolved,Low,Behavior them shoulder spend. Single other business while baby adult environmental these.,2026-03-20 17:12:16
ccf5ac98-bda1-4b77-9bc7-c2edb68e4532,46bee804-34a6-40f3-93a7-61df3c67db3f,Plan Downgrade Request,In Progress,Medium,My doctor responsibility thousand participant Congress enter interesting. Surface win read.,2026-06-11 07:45:11
5d0fa3e3-6bd6-4fc1-a8c3-320e13087e7e,46bee804-34a6-40f3-93a7-61df3c67db3f,Refund Request,Closed,Medium,Information help thank none learn source impact discuss. Letter crime investment town imagine common. Deep bit style listen fight color.,2026-02-06 17:46:05
a6e8c66c-14fb-4350-b2d8-edbef2f0a797,46bee804-34a6-40f3-93a7-61df3c67db3f,Subscription Upgrade,Resolved,High,City increase writer score eight. Test suffer sure woman.,2026-01-20 20:49:26
f04a1b0f-06c9-4b05-8963-6ed237bfb099,51fc306a-24e1-415b-aad7-508f97d414cb,Refund Request,Open,High,Tell political benefit my business their. Thought it fire structure run street our.,2026-02-09 15:00:09
e0dfb12e-d33b-4d98-8d90-c7c52327216a,51fc306a-24e1-415b-aad7-508f97d414cb,Billing Issue,In Progress,Medium,Practice consumer seven cost onto majority. Mind leave model.,2026-06-10 03:40:21
24623bf7-ae58-4776-9b9b-54d5edfebe4e,51fc306a-24e1-415b-aad7-508f97d414cb,Invoice Dispute,Closed,High,Defense commercial color receive put today fight. Itself hard live according chance specific relationship name. Down often increase health yourself.,2026-05-22 11:38:46
b4453785-12f5-4774-a424-fc9be63aac40,51fc306a-24e1-415b-aad7-508f97d414cb,Plan Downgrade Request,In Progress,Medium,Trip floor general matter common within. Produce teacher term increase.,2026-04-14 23:54:33
99fb0110-32f3-4ebf-a234-7a80af99c4d1,51fc306a-24e1-415b-aad7-508f97d414cb,Cannot Login,In Progress,Medium,Fund always activity interesting also. General begin teach wall option yourself.,2026-03-04 00:03:39
beaa91d5-4009-448c-9caa-fe14ffdb68e6,51fc306a-24e1-415b-aad7-508f97d414cb,Plan Downgrade Request,Resolved,High,Behavior figure late teacher seven. Fill together prove he computer field author husband.,2026-05-29 14:44:14
0adfe025-aa65-4599-8dec-bf393b3cfd31,51fc306a-24e1-415b-aad7-508f97d414cb,Unexpected Charge,Closed,Low,Sense firm their artist despite remember probably. Type value religious sign production outside. Simply enjoy if.,2026-03-11 18:04:03
b76e35f1-f617-44d4-90ba-a5d54b68a64e,51fc306a-24e1-415b-aad7-508f97d414cb,Cannot Login,Closed,Critical,Evidence set whatever attack specific.,2026-05-18 00:06:09
987ae7be-de09-44e6-90a9-c7afa1c6141d,51fc306a-24e1-415b-aad7-508f97d414cb,Unexpected Charge,Resolved,Low,These cause even strategy many who painting tonight. Other sit deal business magazine. Appear past leave.,2026-06-05 15:39:00
94b6dcfc-44b0-4071-ae9c-3bd4829083ce,e732ab2c-0ce1-4418-8a04-185d7c6763c0,Add Team Members,Closed,Critical,Six until industry already. East home eye explain set letter. Raise put watch should blood out.,2026-02-01 19:02:40
1d2c5e62-15c3-48cf-ac74-5027a8f105a1,e732ab2c-0ce1-4418-8a04-185d7c6763c0,Subscription Upgrade,Open,Low,Standard voice soon add music station. Country scientist across knowledge science field student.,2026-05-16 21:46:48
13b5de38-2a0e-46bc-b134-ad241b558601,e732ab2c-0ce1-4418-8a04-185d7c6763c0,Subscription Upgrade,In Progress,High,Number network everything side. Memory man wonder field exist. Issue parent certain know room.,2026-02-21 06:34:42
aec509ec-6e63-479e-8024-964933156267,e732ab2c-0ce1-4418-8a04-185d7c6763c0,Refund Request,Closed,Low,Great maintain some free major successful daughter. New indeed admit for if. Onto contain writer hospital project television fire.,2026-06-17 22:48:47
